Day,Activity,Category,Priority,Hours
Monday,College Classes,Academic,High,4
Monday,DSA Practice,Learning,Medium,2
Monday,Personal Time,Personal,Low,1
Tuesday,College Classes,Academic,High,4
Tuesday,AI Project Work,Development,High,3
Tuesday,Gym,Personal,Low,1
Wednesday,College Classes,Academic,High,4
Wednesday,AI Learning,Learning,Medium,2
Wednesday,Personal Time,Personal,Low,1
Thursday,College Classes,Academic,High,4
Thursday,AI Project Work,Development,High,3
Thursday,Assignments,Academic,High,2
Friday,College Classes,Academic,High,4
Friday,Hackathon Preparation,Development,Medium,3
Friday,Leisure,Personal,Low,1
Saturday,AI Project Work,Development,High,5
Saturday,Assignments,Academic,High,2
Saturday,Personal Time,Personal,Low,1
Sunday,Study and Revision,Learning,Medium,3
Sunday,Planning Next Week,Personal,Low,1
Sunday,Family Time,Personal,Low,2
